Pin No.,Pin name,Signal or label,Comment
,,,
A1,PE4,SAI1_FS_A,-
A2,PE3,SAI1_SD_B,-
A3,PE2,QUADSPI_BK1_IO2,-
A4,PG14,ETH_TXD1,-
A5,PE1,FMC_NBL1,-
A6,PE0,FMC_NBL0,-
A7,PB8,I2C1_SCL,ARD_D15/SCL
A8,PB5,USB_OTG_HS_ULPI_D7,-
A9,PB4,SDMMC2_D3,-
A10,PB3,SDMMC2_D2,-
A11,PD7,SDMMC2_CMD,-
A12,PC12,UART5_TX,WIFI_RX
A13,PA15,CEC,CEC
A14,PA14,SYS_JTCK-SWCLK,SWCLK
A15,PA13,SYS_JTMS-SWDIO,SWDIO
B1,PE5,SAI1_SCK_A,-
B2,PE6,SAI1_SD_A,-
B3,PG13,ETH_TXD0,-
B4,PB9,I2C1_SDA,ARD_D14/SDA
B5,PB7,I2C4_SDA,-
B6,PB6,QUADSPI_BK1_NCS,-
B7,PG15,FMC_SDNCAS,-
B8,PG11,ETH_TX_EN,-
B9,PJ13,GPIO_Input,LD_USER1
B10,PJ12,GPIO_Input,Audio_INT
B11,PD6,SDMMC2_CK,-
B12,PD0,FMC_D2,-
B13,PC11,DFSDM_DATIN5,-
B14,PC10,QUADSPI_BK1_IO1,-
B15,PA12,SPI2_SCK,ARD_D13/SCK
C1,VBAT,-,-
C2,PI8,GPIO_Input,NC4
C3,PI4,FMC_NBL2,-
C4,PK7,GPIO_Input,NC3
C5,PK6,GPIO_Input,NC2
C6,PK5,GPIO_Input,NC1
C7,PG12,SPDIFRX_IN1,-
C8,PG10,SDMMC2_D1,-
C9,PJ14,GPIO_Input,WIFI_RST
C10,PD5,GPIO_Input,RMII_RXER
C11,PD3,DFSDM_CKOUT,-
C12,PD1,FMC_D3,-
C13,PI3,FMC_D27,-
C14,PI2,FMC_D26,-
C15,PA11,SPI2_NSS,ARD_D10/PWM/CS
D1,PC13,RTC_OUT_ALARM,NC6
D2,PF0,FMC_A0,-
D3,PI5,FMC_NBL3,-
D4,PI7,FMC_D29,-
D5,PI10,FMC_D31,-
D6,PI6,FMC_D28,-
D7,PK4,GPIO_Input,NC8
D8,PK3,GPIO_Input,NC7
D9,PG9,SDMMC2_D0,-
D10,PJ15,GPIO_Input,DSI_RESET
D11,PD4,GPIO_Input,OTG_HS_OverCurrent
D12,PD2,UART5_RX,WIFI_TX
D13,PH15,FMC_D23,-
D14,PI1,FMC_D25,-
D15,PA10,USART1_RX,VCP_RX
E1,PC14/OSC32_IN,RCC_OSC32_IN,-
E2,PF1,FMC_A1,-
E3,PI12,GPIO_Input,NC5
E4,PI9,FMC_D30,-
E5,PDR_ON,-,-
E6,BOOT0,-,-
E7,VDD,-,-
E8,VDD,-,-
E9,VDD,-,-
E10,VDD,-,-
E11,VCAP_2,-,-
E12,PH13,FMC_D21,-
E13,PH14,FMC_D22,-
E14,PI0,FMC_D24,-
E15,PA9,USART1_TX,VCP_TX
F1,PC15/OSC32_OUT,RCC_OSC32_OUT,-
F2,VSS,-,-
F3,PI11,USB_OTG_HS_ULPI_DIR,-
F4,VDD,-,-
F5,VDD,-,-
F6,VSS,-,-
F7,VSS,-,-
F8,VSS,-,-
F9,VSS,-,-
F10,VSS,-,-
F11,VDD,-,-
F12,DSIHOST_D1P,DSIHOST_D1P,-
F13,DSIHOST_D1N,DSIHOST_D1N,-
F14,PC9,QUADSPI_BK1_IO0,-
F15,PA8,RCC_MCO_1,CEC_CLK
G1,PH0/OSC_IN,RCC_OSC_IN,-
G2,PF2,FMC_A2,-
G3,PI13,GPIO_Input,LCD_INT
G4,PI15,GPIO_Input,uSD_Detect
G5,VDD,-,-
G6,VSS,-,-
G10,VSS,-,-
G11,VDDUSB,-,-
G12,VSSDSI,-,-
G13,VDD,-,-
G14,PC8,TIM3_CH3,ARD_D5/PWM
G15,PC7,USART6_RX,ARD_D0/RX
H1,PH1/OSC_OUT,RCC_OSC_OUT,-
H2,PF3,FMC_A3,-
H3,PI14,GPIO_Input,LCD_BL_CTRL
H4,PH4,USB_OTG_HS_ULPI_NXT,-
H5,VDD,-,-
H6,VSS,-,-
H10,VSS,-,-
H11,VDDDSI,-,-
H12,DSIHOST_CKP,DSIHOST_CKP,-
H13,DSIHOST_CKN,DSIHOST_CKN,-
H14,PG8,FMC_SDCLK,-
H15,PC6,USART6_TX,ARD_D1/TX
J1,NRST,-,-
J2,PF4,FMC_A4,-
J3,PH5,FMC_SDNWE,-
J4,PH3,FMC_SDNE0,-
J5,VDD,-,-
J6,VSS,-,-
J10,VSS,-,-
J11,VDD,-,-
J12,DSIHOST_D0P,DSIHOST_D0P,-
J13,DSIHOST_D0N,DSIHOST_D0N,-
J14,PG7,SAI1_MCLK_A,-
J15,PG6,GPIO_Input,EXT_SDA
K1,PF7,TIM11_CH1,ARD_D6/PWM
K2,PF6,TIM10_CH1,ARD_D3/PWM
K3,PF5,FMC_A5,-
K4,PH2,FMC_SDCKE0,-
K5,VDD,-,-
K6,VSS,-,-
K7,VSS,-,-
K8,VSS,-,-
K9,VSS,-,-
K10,VSS,-,-
K11,VDD,-,-
K12,VCAPDSI,-,-
K13,PD15,FMC_D1,-
K14,PB13,USB_OTG_HS_ULPI_D6,-
K15,PD10,FMC_D15,-
L1,PF10,ADC3_IN8,ARD_A3
L2,PF9,ADC3_IN7,ARD_A5
L3,PF8,ADC3_IN6,ARD_A4
L4,PC3,DFSDM_DATIN1,-
L5,BYPASS_REG,-,-
L6,VSS,-,-
L7,VDD,-,-
L8,VDD,-,-
L9,VDD,-,-
L10,VDD,-,-
L11,VCAP_1,-,-
L12,PD14,FMC_D0,-
